RepRapFirmware height map file v2 generated at 2021-06-21 21:17, min error -0.086, max error 0.163, mean 0.016, deviation 0.069
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,35.00,365.00,25.00,355.00,-1.00,66.00,66.00,6,6
  0.009,  0.038,  0.065,  0.074,  0.041, -0.003
 -0.051, -0.005,  0.031,  0.042,  0.011, -0.029
 -0.086, -0.040, -0.008,  0.001, -0.027, -0.066
 -0.074, -0.043, -0.001,  0.007, -0.024, -0.10
 -0.060, -0.024,  0.061,  0.030, -0.009, -0.12
  -0.02,  0.02,  0.055,  0.052,  -0.009,  -0.10
